,Cluster,ID#,Balance,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
108,0,111,84674.0,4,1,1,46335.0,14,50.0,1.0,6738,1
109,3,112,15098.0,4,1,1,32917.0,26,550.0,2.5,6737,1
110,0,113,181019.0,3,1,1,18415.0,15,0.0,0.0,7714,0
111,2,114,203218.75,1,1,1,8550.0,11,777.5,2.5,7714,1
112,3,115,124198.0,5,1,1,57626.25,23,777.5,2.5,7710,0
113,1,116,56906.0,1,1,1,2015.0,13,0.0,0.0,7707,1
114,2,117,203218.75,1,1,1,5422.0,20,777.5,2.0,7700,1
115,0,118,67018.0,3,1,1,23260.0,25,0.0,0.0,7698,0
116,1,119,143967.0,2,1,1,7346.0,11,0.0,0.0,7689,0
117,2,120,203218.75,1,1,1,2500.0,3,777.5,2.0,7718,1
118,1,121,122705.0,3,1,1,24222.0,15,0.0,0.0,7682,1
119,1,122,16583.0,1,1,1,2625.0,7,0.0,0.0,7682,1
120,1,123,77540.0,1,1,1,1000.0,1,0.0,0.0,7683,0
121,3,124,203218.75,5,1,1,57626.25,38,777.5,2.5,7668,1
122,3,125,81974.0,4,1,1,37266.0,18,777.5,2.5,7661,1
123,1,126,47258.0,3,1,1,24768.0,19,0.0,0.0,7659,1
124,0,127,77699.0,4,1,1,42775.0,13,0.0,0.0,7654,0
125,3,128,133954.0,4,1,1,37670.0,18,777.5,2.5,7654,1
126,3,129,203218.75,5,1,1,57626.25,26,777.5,2.5,7652,1
127,3,130,203218.75,4,1,1,56308.0,38,777.5,2.5,7645,1
128,1,131,48333.0,2,1,1,10123.0,14,0.0,0.0,6737,1
129,0,132,142175.0,4,1,1,37461.0,22,0.0,0.0,6732,1
130,1,133,17469.0,1,1,1,0.0,0,0.0,0.0,6730,1
131,2,134,19823.0,1,1,1,1095.0,3,335.0,1.0,6730,1
132,1,135,145074.0,1,1,1,8000.0,4,0.0,0.0,6746,1
133,2,136,101101.0,1,1,1,10850.0,11,777.5,2.5,6725,1
134,1,137,125948.0,3,1,1,15155.0,15,0.0,0.0,6761,1
135,2,138,203218.75,1,1,1,19172.0,26,777.5,2.5,6723,1
136,0,139,129298.0,4,1,1,29099.0,15,0.0,0.0,6722,0
137,3,140,103302.0,4,1,1,53552.0,22,700.0,2.5,6718,1
138,1,141,160447.0,1,1,1,8578.0,25,0.0,0.0,6716,1
139,1,142,15472.0,1,1,1,3500.0,14,0.0,0.0,6715,0
140,1,143,39628.0,1,1,1,0.0,0,0.0,0.0,6711,0
141,1,144,6112.0,1,1,1,0.0,0,0.0,0.0,6709,0
142,2,145,31769.0,1,1,1,450.0,2,450.0,2.0,6707,0
143,0,146,126787.0,4,1,1,35021.0,17,0.0,0.0,6701,0
144,1,147,41547.0,3,1,1,16857.0,17,0.0,0.0,6697,0
145,2,148,100640.0,1,1,1,7600.0,8,777.5,2.5,6708,1
146,1,149,18707.0,1,1,1,100.0,1,0.0,0.0,6693,0
147,3,150,50593.0,5,1,1,57626.25,17,777.5,2.0,6689,1
148,1,151,84631.0,3,1,1,20415.0,17,0.0,0.0,6736,0
149,1,152,24868.0,1,1,1,205.0,5,0.0,0.0,6689,0
150,3,153,77097.0,4,1,1,42403.0,22,777.5,2.5,6683,1
151,3,154,203218.75,5,1,1,57626.25,18,777.5,2.5,7640,1
152,0,155,203218.75,5,1,1,57626.25,20,500.0,1.0,7640,0
153,1,156,87474.0,1,1,1,4581.0,15,0.0,0.0,7634,0
154,0,157,48707.0,4,1,1,37655.0,14,0.0,0.0,7631,1
155,0,158,203218.75,4,1,1,52574.0,21,500.0,1.0,7626,0
156,0,159,203218.75,3,1,1,19926.0,12,0.0,0.0,7624,0
157,1,160,44182.0,3,1,1,12313.0,12,0.0,0.0,7619,1
158,0,161,203218.75,5,1,1,57626.25,21,0.0,0.0,7612,1
159,1,162,46823.0,1,1,1,5860.0,12,0.0,0.0,7613,0
160,1,163,69110.0,3,1,1,18500.0,19,0.0,0.0,7598,0
161,0,164,120700.0,5,1,1,55323.0,17,777.5,1.0,7598,1
162,2,165,152945.0,1,1,1,18604.0,6,777.5,2.0,7598,1
163,0,166,10302.0,4,1,1,30298.0,19,0.0,0.0,7591,1
164,1,167,80331.0,3,1,1,15489.0,18,0.0,0.0,7634,1
165,1,168,69882.0,1,1,1,180.0,6,0.0,0.0,7582,0
166,1,169,95658.0,1,1,1,5269.0,18,0.0,0.0,7584,0
167,0,170,203218.75,5,1,1,57626.25,15,0.0,0.0,7582,1
168,0,171,203218.75,4,1,1,44615.0,16,0.0,0.0,7577,1
169,3,172,21694.0,4,1,1,45230.0,20,700.0,2.0,7575,1
170,0,173,71767.0,5,1,1,57626.25,13,0.0,0.0,7570,1
171,1,174,35820.0,1,1,1,0.0,0,0.0,0.0,7575,0
172,3,175,203218.75,3,1,1,23740.0,6,777.5,2.0,7563,1
173,2,176,149285.0,1,1,1,15656.0,13,777.5,2.5,7561,1
174,0,177,120941.0,4,1,1,42301.0,21,0.0,0.0,7588,0
175,3,178,203218.75,4,1,1,43533.0,19,777.5,2.5,7575,1
176,2,179,106961.0,1,1,1,7357.0,19,200.0,2.0,7572,1
177,1,180,28086.0,2,1,1,7368.0,12,0.0,0.0,7549,1
178,1,181,60230.0,1,1,1,500.0,1,0.0,0.0,7544,1
179,2,182,6663.0,1,1,1,1125.0,7,750.0,2.5,7575,1
180,1,183,48145.0,1,1,1,10735.0,27,0.0,0.0,7540,0
181,3,184,127807.0,3,1,1,17086.0,16,777.5,2.5,7537,1
182,1,186,32948.0,1,1,1,50.0,1,50.0,1.0,7569,0
183,1,187,8933.0,2,1,1,8860.0,14,0.0,0.0,7533,1
184,1,188,49885.0,3,1,1,23640.0,17,0.0,0.0,7533,0
185,1,189,89999.0,3,1,1,11694.0,13,0.0,0.0,7530,0
186,3,190,203218.75,4,1,1,57173.0,38,777.5,2.5,7523,1
187,1,191,203218.75,1,1,1,3250.0,8,0.0,0.0,7521,0
188,0,192,203218.75,5,1,1,57626.25,31,0.0,0.0,7514,0
189,2,193,72173.0,1,1,1,2954.0,13,232.0,1.0,7509,0
190,3,194,123516.0,5,1,1,57626.25,31,500.0,2.0,7507,1
191,3,195,143080.0,4,1,1,44373.0,38,777.5,2.5,7575,1
192,0,196,203218.75,5,1,1,57626.25,24,0.0,0.0,7500,1
193,1,197,52738.0,1,1,1,0.0,0,0.0,0.0,7498,0
194,1,198,24523.0,1,1,1,100.0,1,0.0,0.0,7493,1
195,1,199,134601.0,1,1,1,0.0,0,0.0,0.0,7493,0
196,0,200,32742.0,5,1,1,57626.25,26,0.0,0.0,7488,1
197,0,201,108341.0,3,1,1,19670.0,21,0.0,0.0,7488,0
198,1,202,8669.0,1,3,1,11397.0,16,0.0,0.0,7486,1
199,0,203,118940.0,4,1,1,36001.0,17,150.0,1.0,7484,1
200,0,204,41385.0,4,1,1,26948.0,14,0.0,0.0,7481,1
201,2,205,28621.0,2,1,1,13878.0,20,777.5,2.5,7479,1
202,1,206,16230.0,1,1,1,486.0,2,0.0,0.0,7477,0
203,0,207,152881.0,5,1,1,57626.25,18,500.0,1.0,7474,1
204,1,208,37348.0,1,1,1,0.0,0,0.0,0.0,7472,0
205,1,209,51468.0,1,1,1,2278.0,9,0.0,0.0,7460,0
206,3,210,95989.0,5,1,1,57626.25,30,777.5,2.5,7518,1
207,2,211,23184.0,1,1,1,3694.0,12,777.5,2.5,7467,1
208,1,212,27381.0,3,1,1,18009.0,18,0.0,0.0,7524,1
209,1,213,6854.0,1,1,1,0.0,0,0.0,0.0,7467,0
210,3,214,201346.0,5,1,1,57626.25,34,600.0,2.5,7463,1
211,1,215,31588.0,1,1,1,2947.0,8,0.0,0.0,7463,0
212,1,216,203218.75,1,1,1,4671.0,14,0.0,0.0,7498,0
213,1,217,8298.0,3,1,1,20087.0,15,0.0,0.0,7498,1
214,2,218,10097.0,1,1,1,2700.0,1,777.5,1.0,7498,0
215,0,219,114356.0,4,1,1,27308.0,14,0.0,0.0,7456,0
216,1,220,1344.0,1,1,1,1134.0,9,0.0,0.0,7498,0
217,1,221,59797.0,1,1,1,7069.0,4,0.0,0.0,7444,0
218,1,222,189053.0,3,1,1,24156.0,22,0.0,0.0,7439,1
219,0,223,143481.0,4,1,1,45891.0,15,0.0,0.0,7437,0
220,3,224,203218.75,5,1,1,57626.25,32,777.5,2.5,7467,1
221,3,225,203218.75,5,1,1,57626.25,35,550.0,2.0,7467,1
222,2,226,75039.0,1,1,1,2750.0,10,250.0,1.0,7435,1
223,1,227,20203.0,1,1,1,750.0,6,0.0,0.0,7467,0
224,0,228,193976.0,3,1,1,10849.0,14,0.0,0.0,7416,0
225,1,229,98224.0,2,1,1,5570.0,11,0.0,0.0,7467,0
226,1,230,117329.0,1,2,1,6448.0,11,0.0,0.0,7416,1
227,0,231,119239.0,4,1,1,36362.0,15,250.0,1.0,7467,1
228,2,232,53715.0,2,1,1,7164.0,15,300.0,2.0,7416,0
229,0,233,153747.0,5,1,1,57626.25,15,0.0,0.0,7409,0
230,1,234,133309.0,3,1,1,23987.0,13,0.0,0.0,7415,1
231,0,235,81380.0,5,1,1,56524.0,22,0.0,0.0,7404,1
232,1,236,22074.0,1,1,1,6039.0,15,0.0,0.0,7404,0
233,1,237,24051.0,2,1,1,8764.0,13,0.0,0.0,7395,1
234,1,238,11449.0,2,1,1,9057.0,13,0.0,0.0,7397,1
235,1,239,182317.0,2,1,1,19489.0,17,273.0,1.0,7397,1
236,2,240,46184.0,1,1,1,3125.0,12,500.0,1.0,7388,0
237,1,241,203218.75,1,1,1,8471.0,18,500.0,1.0,7406,1
238,3,242,30962.0,5,1,1,57626.25,37,777.5,2.5,7360,1
239,1,243,15525.0,1,1,1,3853.0,6,0.0,0.0,7406,0
240,0,244,163530.0,5,1,1,57626.25,25,0.0,0.0,7406,0
241,1,245,2075.0,2,1,1,5002.0,14,0.0,0.0,7374,1
242,0,246,203218.75,4,1,1,41186.0,13,0.0,0.0,7369,0
243,3,247,118934.0,5,1,1,57626.25,37,777.5,2.5,7354,0
244,0,248,203218.75,5,1,1,57626.25,22,0.0,0.0,7348,1
245,3,249,12526.0,4,1,1,56076.0,19,777.5,2.5,7375,1
246,2,250,176090.0,1,1,1,5300.0,9,777.5,2.5,7344,0
247,1,251,15221.0,1,1,1,4425.0,9,0.0,0.0,7361,1
248,0,252,92875.0,5,1,1,57626.25,14,0.0,0.0,7344,1
249,1,253,88702.0,2,1,1,9620.0,13,50.0,1.0,7406,0
250,1,254,62882.0,1,1,1,1925.0,8,0.0,0.0,7375,0
251,1,255,30015.0,1,1,1,5875.0,32,0.0,0.0,7341,0
252,2,256,87293.0,3,1,1,21584.0,17,777.5,2.0,7406,0
253,1,257,45225.0,3,1,1,14711.0,15,0.0,0.0,7339,1
254,1,258,96098.0,1,1,1,12500.0,4,0.0,0.0,7339,1
255,0,259,203218.75,5,1,1,57626.25,12,0.0,0.0,7375,0
256,2,260,203218.75,1,1,1,8534.0,14,777.5,2.5,7375,0
257,1,261,25279.0,2,1,1,14938.0,26,0.0,0.0,7327,1
258,1,262,198137.0,1,1,1,6303.0,6,500.0,1.0,7323,0
259,0,263,203218.75,5,1,1,57626.25,18,250.0,2.5,7375,1
260,1,264,149733.0,1,1,1,605.0,3,500.0,1.0,7323,0
261,1,265,70730.0,1,1,1,1319.0,12,0.0,0.0,7316,0
262,1,266,164613.0,2,1,1,11095.0,13,0.0,0.0,7375,0
263,2,267,47557.0,2,1,1,10267.0,18,200.0,2.5,7345,0
264,2,268,35065.0,1,1,1,5400.0,5,777.5,2.5,7311,1
265,1,269,105769.0,3,1,1,23097.0,16,0.0,0.0,7345,1
266,1,270,35900.0,1,1,1,0.0,0,0.0,0.0,7304,0
267,1,271,43088.0,1,1,1,4000.0,1,0.0,0.0,7345,0
268,3,272,58703.0,4,1,1,46473.0,34,777.5,2.5,7296,1
269,0,273,70354.0,5,1,1,57626.25,22,0.0,0.0,7290,1
270,1,274,145726.0,3,1,1,19019.0,15,0.0,0.0,7292,1
271,0,275,121639.0,5,1,1,57626.25,7,0.0,0.0,7288,1
272,0,276,70676.0,5,1,1,57626.25,15,0.0,0.0,7288,1
273,2,277,18263.0,1,1,1,2100.0,4,777.5,2.0,7285,0
274,1,278,51250.0,1,1,1,0.0,0,0.0,0.0,7283,0
275,2,279,203218.75,1,1,1,17108.0,32,777.5,2.5,7283,1
276,1,280,12895.0,1,1,1,0.0,0,0.0,0.0,7277,0
277,1,281,120073.0,3,1,1,12423.0,29,0.0,0.0,7276,1
278,1,282,2003.0,1,1,1,980.0,2,0.0,0.0,7274,0
279,0,283,22652.0,5,1,1,57626.25,14,0.0,0.0,7271,1
280,1,284,168515.0,1,1,1,4600.0,4,0.0,0.0,7269,0
281,3,285,44873.0,4,1,1,38740.0,18,777.5,2.0,7267,1
282,1,286,190542.0,1,1,1,8487.0,9,0.0,0.0,7267,0
283,2,287,156230.0,1,1,1,5300.0,8,777.5,2.5,7260,1
284,0,288,79211.0,4,1,1,36776.0,14,0.0,0.0,7260,1
285,3,289,98006.0,4,1,1,46349.0,20,777.5,2.5,7332,1
286,0,290,33982.0,5,1,1,57626.25,17,0.0,0.0,7255,1
287,1,291,62998.0,2,1,1,11326.0,24,0.0,0.0,7253,0
288,0,292,137908.0,5,1,1,57626.25,19,0.0,0.0,7250,1
289,0,293,45586.0,4,1,1,37459.0,15,0.0,0.0,7246,0
290,3,294,203218.75,5,1,1,57626.25,16,777.5,2.0,7243,1
291,0,295,145993.0,5,1,1,57626.25,17,500.0,1.0,7229,1
292,0,296,203218.75,5,1,1,57626.25,20,0.0,0.0,7279,1
293,1,297,12195.0,1,1,1,3875.0,17,0.0,0.0,7229,0
294,1,298,16622.0,1,1,1,0.0,0,0.0,0.0,7229,0
295,0,299,141813.0,4,1,1,39743.0,14,0.0,0.0,7254,0
296,0,300,58139.0,4,1,1,38408.0,16,150.0,1.0,7227,1
297,0,301,203218.75,3,1,1,20521.0,16,0.0,0.0,7220,0
298,3,302,149286.0,4,1,1,42141.0,30,777.5,2.5,7222,1
299,1,303,35945.0,1,1,1,0.0,0,0.0,0.0,7220,0
300,2,304,28218.0,1,1,1,750.0,4,750.0,2.5,7232,1
301,1,305,7061.0,1,1,1,7100.0,12,0.0,0.0,7218,0
302,0,306,203218.75,4,1,1,49198.0,20,0.0,0.0,7215,1
303,0,307,203218.75,4,1,1,28200.0,27,0.0,0.0,7213,0
304,1,308,125465.0,3,1,1,14750.0,9,0.0,0.0,7206,0
305,0,309,94222.0,4,1,1,52081.0,24,0.0,0.0,7201,1
306,1,310,123370.0,1,1,1,7478.0,16,0.0,0.0,7197,0
307,2,311,203218.75,1,1,1,8001.0,25,777.5,2.5,7326,1
308,1,312,112969.0,2,1,1,7572.0,7,0.0,0.0,7192,0
309,2,313,46430.0,1,1,1,2100.0,4,500.0,1.0,7194,0
310,0,314,179433.0,4,1,1,30476.0,15,0.0,0.0,7187,0
311,0,315,20746.0,4,1,1,37534.0,17,0.0,0.0,7185,1
312,0,316,61455.0,4,1,1,28765.0,17,0.0,0.0,7183,1
313,3,317,203218.75,5,1,1,57626.25,20,777.5,2.5,7183,1
314,3,318,179559.0,3,1,1,17819.0,12,777.5,2.0,7173,1
315,2,319,119977.0,1,1,1,9275.0,16,777.5,2.5,7226,1
316,1,320,16928.0,1,1,1,1000.0,1,0.0,0.0,7173,0
317,1,321,65316.0,1,1,1,3917.0,10,0.0,0.0,7254,0
318,1,322,203218.75,1,1,1,11398.0,3,398.0,1.0,7162,1
319,1,323,52060.0,1,1,1,6500.0,3,0.0,0.0,7162,1
320,1,324,84700.0,3,1,1,13544.0,17,0.0,0.0,7162,0
321,3,325,203218.75,3,1,1,32404.0,20,777.5,2.0,7159,1
322,0,326,20457.0,4,1,1,51399.0,16,0.0,0.0,7193,1
323,2,327,203218.75,1,1,1,21666.0,19,777.5,2.5,7155,1
324,1,328,50325.0,3,1,1,11930.0,14,0.0,0.0,7155,0
325,1,329,203218.75,1,1,1,258.0,2,258.0,2.0,7141,1
326,1,330,73849.0,2,1,1,11793.0,21,0.0,0.0,7250,0
327,3,331,203218.75,5,1,1,57626.25,26,777.5,2.5,7164,1
328,3,332,138999.0,5,1,1,57626.25,29,600.0,2.5,7153,1
329,1,333,65573.0,1,1,1,3875.0,23,0.0,0.0,7130,0
330,0,334,172288.0,5,1,1,57626.25,10,0.0,0.0,7130,1
331,1,335,47958.0,1,1,1,0.0,0,0.0,0.0,7130,0
332,0,337,133002.0,3,1,1,15672.0,21,150.0,1.0,7117,0
333,1,338,42363.0,1,1,1,0.0,0,0.0,0.0,7120,1
334,0,339,133370.0,4,1,1,44299.0,18,0.0,0.0,7101,1
335,3,340,203218.75,4,1,1,57313.0,27,777.5,2.0,7101,1
336,0,341,105166.0,4,1,1,37663.0,22,0.0,0.0,7120,0
337,1,342,34956.0,1,1,1,0.0,0,0.0,0.0,7172,0
338,1,343,46963.0,1,1,1,1500.0,5,0.0,0.0,7117,0
339,1,344,55788.0,3,1,1,24831.0,12,0.0,0.0,7314,0
340,0,345,174910.0,4,1,1,57626.25,20,200.0,1.0,7110,1
341,1,346,13812.0,2,1,1,15149.0,38,0.0,0.0,7110,1
342,1,347,38718.0,1,1,1,0.0,0,0.0,0.0,7314,0
343,1,348,112501.0,1,1,2,19140.0,11,0.0,0.0,7101,0
344,1,349,54005.0,1,1,1,1500.0,5,0.0,0.0,7099,0
345,0,350,66863.0,4,1,1,36532.0,9,0.0,0.0,7099,1
346,1,351,93045.0,3,1,1,17636.0,15,0.0,0.0,7092,0
347,0,352,197328.0,5,1,1,57626.25,12,0.0,0.0,7092,0
348,0,353,151301.0,4,1,1,37772.0,14,0.0,0.0,7092,0
349,1,354,87938.0,1,1,1,11268.0,2,0.0,0.0,7085,1
350,1,355,15283.0,1,1,1,1250.0,3,0.0,0.0,7132,0
351,1,356,105423.0,3,1,1,20802.0,14,0.0,0.0,7078,0
352,1,357,203218.75,1,1,1,100.0,1,100.0,1.0,7078,0
353,1,358,13680.0,1,1,1,0.0,0,0.0,0.0,7073,1
354,2,359,41279.0,3,1,1,14462.0,20,777.5,2.5,7064,0
355,1,360,25313.0,2,1,1,7491.0,13,0.0,0.0,7064,0
356,2,361,148691.0,1,1,1,3000.0,3,777.5,2.0,7064,0
357,0,362,203218.75,4,1,1,40108.0,15,150.0,2.0,7059,0
358,1,363,51088.0,1,1,1,0.0,0,0.0,0.0,7057,0
359,1,364,95305.0,1,1,1,3189.0,13,0.0,0.0,7054,0
360,2,365,22080.0,1,1,1,12200.0,38,777.5,2.5,7050,1
361,1,366,11660.0,1,1,1,140.0,1,0.0,0.0,7050,0
362,0,367,203218.75,4,1,1,38127.0,14,500.0,1.0,7047,1
363,1,368,16200.0,1,1,1,160.0,1,0.0,0.0,7043,0
364,1,369,38227.0,2,1,1,8612.0,13,0.0,0.0,7036,0
365,2,370,80214.0,1,1,1,500.0,1,500.0,1.0,7029,1
366,1,371,53985.0,1,1,1,1000.0,1,0.0,0.0,7029,1
367,1,372,14414.0,1,1,1,0.0,0,0.0,0.0,7024,0
368,1,373,44457.0,1,1,1,225.0,3,0.0,0.0,7026,0
369,0,374,161813.0,5,1,1,57626.25,20,0.0,0.0,7026,1
370,1,375,138020.0,1,1,1,6568.0,15,0.0,0.0,7024,1
371,2,376,107707.0,3,1,1,19407.0,25,777.5,2.5,7024,0
372,0,377,95656.0,5,1,1,57626.25,27,0.0,0.0,7019,1
373,1,378,149678.0,1,1,1,0.0,0,0.0,0.0,7022,0
374,1,379,15113.0,2,1,1,10574.0,19,0.0,0.0,7017,1
